objectid,dtname,sdtname,urban_hhd,urban_electricity,urban_tele,urban_hhd_pipe,urban_no_sanitation,rural_hhd,total_hhd_x,avg_electricity,avg_tele,sd_piped_hhds_pct,sd_nosanitation_hhds_pct,,total_hhd
09-132-00701,Saharanpur,Behat,7042.1852111816415,140843.70422363284,21126.555633544926,1319.0012900543213,443.6576683044434,0,7042.1852111816415,20,3,18.729999999999997,6.3,,7042
09-132-00702,Saharanpur,Saharanpur,122264.80447520381,2445296.089504076,366794.41342561145,22900.197878205672,7702.68268193784,0,122264.80447520381,20,3,18.73,6.300000000000001,,122265
09-132-00703,Saharanpur,Nakur,15809.854205587637,316197.08411175275,47429.56261676291,2961.185692706564,996.0208149520212,0,15809.854205587637,20,3,18.73,6.300000000000001,,15810
09-132-00704,Saharanpur,Deoband,12212.239034901497,244244.78069802994,36636.71710470449,2287.35237123705,769.3710591987943,0,12212.239034901497,20,3,18.729999999999997,6.300000000000001,,12212
09-132-00705,Saharanpur,Rampur Maniharan,10024.471024222996,200489.4204844599,30073.413072668987,1877.583422836967,631.5416745260487,0,10024.471024222996,20,3,18.729999999999997,6.3,,10024
09-704-00706,Shamli,Kairana,23680.739746093754,473614.79492187506,71042.21923828126,4435.40255444336,1491.8866040039065,0,23680.739746093754,20,3,18.73,6.3,,23681
09-704-00707,Shamli,Shamli,22275.121008831524,445502.4201766305,66825.36302649457,4172.130164954145,1403.332623556386,0,22275.121008831524,20,3,18.73,6.299999999999999,,22275
09-133-00708,Muzaffarnagar,Muzaffarnagar,72795.08927055028,1455901.7854110056,218385.26781165082,13634.520220374066,4586.0906240446675,0,72795.08927055028,20,3,18.73,6.3,,72795
09-133-00709,Muzaffarnagar,Budhana,21871.48649796196,437429.7299592392,65614.45949388588,4096.529421068275,1377.9036493716035,0,21871.48649796196,20,3,18.73,6.3,,21871
09-133-00710,Muzaffarnagar,Khatauli,14966.136474609377,299322.72949218756,44898.40942382813,2803.157361694336,942.8665979003907,0,14966.136474609377,20,3,18.73,6.3,,14966
09-133-00711,Muzaffarnagar,Jansath,9641.622115425442,192832.44230850885,28924.866346276325,1805.8758222191852,607.4221932718028,0,9641.622115425442,20,3,18.73,6.3,,9642
09-134-00712,Bijnor,Najibabad,23360.193547787876,467203.8709557575,70080.58064336363,4375.364251500669,1471.6921935106361,0,23360.193547787876,20,3,18.729999999999997,6.299999999999999,,23360
09-134-00713,Bijnor,Bijnor,29625.81326692001,592516.2653384001,88877.43980076002,5548.914824894117,1866.4262358159606,0,29625.81326692001,20,3,18.729999999999997,6.300000000000001,,29626
09-134-00714,Bijnor,Nagina,8109.050030915634,162181.00061831268,24327.150092746902,1518.8250707904983,510.870151947685,0,8109.050030915634,20,3,18.73,6.300000000000001,,8109
09-134-00715,Bijnor,Dhampur,33880.75025475544,677615.0050951088,101642.25076426633,6345.864522715694,2134.4872660495926,0,33880.75025475544,20,3,18.73,6.3,,33881
09-134-00715,Bijnor,AFZALGARH,33880.75025475544,677615.0050951088,101642.25076426633,6345.864522715694,2134.4872660495926,0,33880.75025475544,20,3,18.73,6.3,,33881
09-134-00715,Bijnor,Dhampur,33880.75025475544,677615.0050951088,101642.25076426633,6345.864522715694,2134.4872660495926,0,33880.75025475544,20,3,18.73,6.3,,33881
09-134-00715,Bijnor,AFZALGARH,33880.75025475544,677615.0050951088,101642.25076426633,6345.864522715694,2134.4872660495926,0,33880.75025475544,20,3,18.73,6.3,,33881
09-134-00716,Bijnor,Chandpur,15317.969930897589,306359.3986179518,45953.909792692764,2869.0557680571183,965.0321056465481,0,15317.969930897589,20,3,18.73,6.3,,15318
09-135-00717,Moradabad,Thakurdwara,3521.950736667799,70439.01473335599,10565.852210003397,659.6613729778787,221.88289641007134,0,3521.950736667799,20.000000000000004,3,18.73,6.3,,3522
09-135-00718,Moradabad,Kanth,5790.285379161006,115805.70758322012,17370.856137483017,1084.5204515168564,364.78797888714337,0,5790.285379161006,20,3,18.73,6.300000000000001,,5790
09-137-00718,Moradabad,Kanth,5790.285379161006,115805.70758322012,17370.856137483017,1084.5204515168564,364.78797888714337,0,5790.285379161006,20,3,18.73,6.300000000000001,,5790
09-135-00718,Amroha,Kanth,5790.285379161006,115805.70758322012,17370.856137483017,1084.5204515168564,364.78797888714337,0,5790.285379161006,20,3,18.73,6.300000000000001,,5790
09-137-00718,Amroha,Kanth,5790.285379161006,115805.70758322012,17370.856137483017,1084.5204515168564,364.78797888714337,0,5790.285379161006,20,3,18.73,6.300000000000001,,5790
09-135-00719,Moradabad,Moradabad,125652.74724545688,2513054.9449091377,376958.2417363706,23534.75955907407,7916.123076463783,0,125652.74724545688,20,3,18.73,6.3,,125653
09-135-00720,Moradabad,Bilari,15198.807187287704,303976.1437457541,45596.42156186311,2846.7365861789867,957.5248527991254,0,15198.807187287704,20,3,18.729999999999997,6.3,,15199
09-754-00721,Sambhal,Sambhal,34422.754609481155,688455.092189623,103268.26382844347,6447.38193835582,2168.6335403973126,0,34422.754609481155,20,3,18.73,6.3,,34423
09-754-00722,Sambhal,Chandausi,23719.59615956182,474391.92319123645,71158.78847868546,4442.680360685929,1494.3345580523946,0,23719.59615956182,20,3,18.73,6.3,,23720
09-136-00723,Rampur,Suar,3285.837508491848,65716.75016983696,9857.512525475544,615.4373653405231,207.00776303498643,0,3285.837508491848,20,3,18.73,6.3,,3286
09-136-00724,Rampur,Tanda,8588.941358483356,171778.8271696671,25766.82407545007,1608.7087164439326,541.1033055844515,0,8588.941358483356,20,3,18.729999999999997,6.300000000000001,,8589
09-136-00725,Rampur,Bilaspur,4556.73732591712,91134.7465183424,13670.21197775136,853.4769011442766,287.07445153277854,0,4556.73732591712,20,3,18.729999999999997,6.3,,4557
09-136-00726,Rampur,Rampur,81598.41669497284,1631968.3338994568,244795.25008491852,15283.383446968412,5140.700251783289,0,81598.41669497284,20,3,18.73,6.300000000000001,,81598
09-136-00727,Rampur,Shahabad,5022.726228133492,100454.52456266985,15068.178684400478,940.7566225294031,316.43175237241,0,5022.726228133492,20,3,18.73,6.3,,5023
09-136-00728,Rampur,Milak,2354.1025709069295,47082.05141813859,7062.307712720789,440.9234115308679,148.30846196713657,0,2354.1025709069295,20,3,18.73,6.300000000000001,,2354
