object_id,count_bhuvan_pixels,count_inundated_pixels,inundation_pct,inundation_intensity_mean,inundation_intensity_mean_nonzero,inundation_intensity_sum
09-168-00865,329413,0,0.0,0.0,,0.0
09-200-01005,1474789,0,0.0,0.0,,0.0
09-177-00902,260579,1567,0.0060135314050633396,0.0021346693325248775,0.354977664326739,556.25
09-185-00940,106837,0,0.0,0.0,,0.0
09-190-00960,177168,4141,0.023373295403233088,0.005843323850808272,0.25,1035.25
09-156-00814,462391,6903,0.014928923789606632,0.003732230947401658,0.25,1725.75
09-191-00965,410177,30664,0.07475797033963387,0.021383451534337614,0.2860357422384555,8771.0
09-149-00781,328046,2250,0.0068587941934972535,0.0017146985483743134,0.25,562.5
09-188-00949,155805,2710,0.017393536792785855,0.004348384198196464,0.25,677.5
09-195-00988,251880,0,0.0,0.0,,0.0
09-190-00962,217454,4452,0.020473295501577345,0.005118323875394336,0.25,1113.0
09-158-00829,298492,0,0.0,0.0,,0.0
09-754-00721,406625,0,0.0,0.0,,0.0
09-155-00813,650968,0,0.0,0.0,,0.0
09-138-00732,272541,0,0.0,0.0,,0.0
09-168-00866,394948,0,0.0,0.0,,0.0
09-155-00809,439582,751,0.001708441200959093,0.0006568740303288124,0.3844873501997337,288.75
09-142-00750,250168,0,0.0,0.0,,0.0
09-184-00932,234600,0,0.0,0.0,,0.0
09-197-00996,373044,0,0.0,0.0,,0.0
09-195-00991,317767,0,0.0,0.0,,0.0
09-187-00945,313718,1624,0.005176623591888256,0.001294155897972064,0.25,406.0
09-135-00720,254144,856,0.0033681692268949888,0.000846960778141526,0.2514602803738318,215.25
09-136-00725,222934,627,0.002812491589439027,0.0007064871217490378,0.2511961722488038,157.5
09-161-00840,228773,0,0.0,0.0,,0.0
09-132-00704,257380,0,0.0,0.0,,0.0
09-161-00838,292983,0,0.0,0.0,,0.0
09-159-00832,400347,13774,0.03440515352931332,0.013289096708605284,0.38625308552345,5320.25
09-146-00769,281161,0,0.0,0.0,,0.0
09-147-00772,204623,0,0.0,0.0,,0.0
09-705-00741,213900,1763,0.008242169237961665,0.002060542309490416,0.25,440.75
09-140-00739,209876,0,0.0,0.0,,0.0
09-705-00740,297471,0,0.0,0.0,,0.0
09-144-00759,215757,0,0.0,0.0,,0.0
09-181-00924,271108,2253,0.008310341266211252,0.002200230166575682,0.26475810031069685,596.5
09-152-00796,427590,35436,0.08287378095839472,0.023325498725414534,0.281458121684163,9973.75
09-147-00773,372557,0,0.0,0.0,,0.0
09-161-00836,127717,0,0.0,0.0,,0.0
09-704-00706,301739,0,0.0,0.0,,0.0
09-146-00763,204,0,0.0,0.0,,0.0
