object_id,stname,dtname,sdtname,st_area_sh,st_length_,remarks,dist_lgd,state_lgd,subdt_lgd,ac_no,st_length(shape),st_area(shape),max,mean,count,sum
09-168-00865,UTTAR PRADESH,Hamirpur,Rath,0.0,0.0,,149,9,865,229,205155.79393829318,913234181.4374133,0.012472276878356935,0.009573899413087315,665,6.366643109703064
09-200-01005,UTTAR PRADESH,Sonbhadra,Robertsganj,0.0,0.0,,184,9,1005,401,445254.9469209083,4053318549.476354,0.03196508326530457,0.013250472814239302,2968,39.32740331266225
09-177-00902,UTTAR PRADESH,Ayodhya,Rudauli,0.0,0.0,,140,9,902,271,209118.57344945197,729430687.4382885,0.035008698940277104,0.025863987934725885,524,13.552729677796364
09-185-00940,UTTAR PRADESH,Basti,Rudhauli,0.0,0.0,,131,9,940,309,156884.64368858386,299577241.99954206,0.07814870910644532,0.031148690162619497,219,6.82156314561367
09-190-00960,UTTAR PRADESH,Deoria,Rudrapur,0.0,0.0,,137,9,960,336,182005.11169125108,494744766.6424772,0.05510930669307709,0.03455294637638662,360,12.439060695499183
09-156-00814,UTTAR PRADESH,Unnao,Safipur,0.0,0.0,,186,9,814,162,228574.1872318029,1295375395.8368642,0.018015475082397463,0.013085794028191638,931,12.182874240246415
09-191-00965,UTTAR PRADESH,Azamgarh,Sagri,0.0,0.0,,123,9,965,344,178631.42864025777,1143159943.6920924,0.01815751579999924,0.01056811854463635,825,8.718697799324989
09-149-00781,UTTAR PRADESH,Budaun,Sahaswan,0.0,0.0,,133,9,781,113,184964.21553694987,929648128.7763003,0.021885126876831057,0.011743308642749702,662,7.774070321500302
09-188-00949,UTTAR PRADESH,Gorakhpur,Sahjanwa,0.0,0.0,,148,9,949,324,238635.27826398992,436236920.0786699,0.04902908155918122,0.04050658447286325,311,12.59754777106047
09-195-00988,UTTAR PRADESH,Ghazipur,Saidpur,0.0,0.0,,146,9,988,374,187377.96810139844,698144407.2972184,0.025471409606933594,0.022568328362550488,507,11.442142479813098
09-190-00962,UTTAR PRADESH,Deoria,Salempur,0.0,0.0,,137,9,962,341,200824.31794733848,606285228.0854445,0.07253673458099366,0.054034358323741406,436,23.558980229151253
09-158-00829,UTTAR PRADESH,Rae Bareli,Salon,0.0,0.0,,175,9,829,181,200426.7219061872,831017359.1248728,0.003456951129436493,0.0014089033592455458,606,0.8537954357028008
09-754-00721,UTTAR PRADESH,Sambhal,Sambhal,0.0,0.0,,659,9,721,33,234852.465973177,1158141565.1480427,0.024681109619140627,0.00837786175626785,821,6.878224501895906
09-155-00813,UTTAR PRADESH,Hardoi,Sandila,0.0,0.0,,150,9,813,160,295837.97555953887,1828632315.0913875,0.05040957374572754,0.030344878206825545,1316,39.93385972018242
09-138-00732,UTTAR PRADESH,Meerut,Sardhana,0.0,0.0,,169,9,732,44,163884.14743230096,780030431.2305568,0.09033530235290528,0.054234250851847916,550,29.828837968516353
09-168-00866,UTTAR PRADESH,Hamirpur,Sarila,0.0,0.0,,149,9,866,229,260337.25240746478,1096702123.816631,0.013831791722774506,0.011669144140838533,799,9.323646168529988
09-155-00809,UTTAR PRADESH,Hardoi,Shahabad,0.0,0.0,,150,9,809,155,274126.16530635464,1240370838.2599437,0.022995202398300173,0.017697816260673602,889,15.733358655738833
09-142-00750,UTTAR PRADESH,Bulandshahr,Shikarpur,0.0,0.0,,134,9,750,69,193950.3981386573,709889754.8424231,0.01141241865158081,0.010558923820973861,504,5.321697605770826
09-184-00932,UTTAR PRADESH,Siddharth Nagar,Shohratgarh,0.0,0.0,,182,9,932,302,158456.31816009263,660613075.4925383,0.014866474509239197,0.011277165032731051,473,5.334099060481787
09-197-00996,UTTAR PRADESH,Varanasi,Sadar,0.0,0.0,,187,9,996,387,264679.69309043617,1031609215.9075044,0.025471409606933594,0.012588248141416672,753,9.478950850486754
09-195-00991,UTTAR PRADESH,Ghazipur,Zamania,0.0,0.0,,146,9,991,379,186385.38685134277,879840663.3432323,0.07054273829683662,0.05163730379260403,642,33.151149034851784
09-187-00945,UTTAR PRADESH,Maharajganj,Nichlaul,0.0,0.0,,164,9,945,317,237980.831733881,882407531.860894,0.051256060934066774,0.04845168541717001,632,30.621465183651445
09-135-00720,UTTAR PRADESH,Moradabad,Bilari,0.0,0.0,,171,9,720,29,212674.84949804065,724008960.5912561,0.024681109619140627,0.017282884217991554,510,8.814270951175692
09-136-00725,UTTAR PRADESH,Rampur,Bilaspur,0.0,0.0,,176,9,725,36,197829.97433966142,636355652.8795408,0.07635294585227967,0.05693076041619343,443,25.22032686437369
09-161-00840,UTTAR PRADESH,Etawah,Chakarnagar,0.0,0.0,,139,9,840,201,173620.59159028914,639377961.9413606,0.012906211853027344,0.005124032754083304,466,2.38779926340282
09-132-00704,UTTAR PRADESH,Saharanpur,Deoband,0.0,0.0,,177,9,704,5,157617.53021558124,740951749.1451852,0.010580589371919632,0.00846591216912601,518,4.385342503607274
09-161-00838,UTTAR PRADESH,Etawah,Etawah,0.0,0.0,,139,9,838,200,214190.79226098725,820563780.0420132,0.011840592575073243,0.0012703524299429246,595,0.7558596958160401
09-159-00832,UTTAR PRADESH,Farrukhabad,Farrukhabad,0.0,0.0,,141,9,832,195,254786.52024169636,1126311501.9801655,0.016127721059322357,0.009227903007691909,806,7.437689824199678
09-146-00769,UTTAR PRADESH,Agra,Fatehabad,0.0,0.0,,118,9,769,93,214607.0018251029,789004088.4720188,0.0025673109054565432,0.000328013970342797,569,0.1866399491250515
09-147-00772,UTTAR PRADESH,Firozabad,Firozabad,0.0,0.0,,143,9,772,95,229294.46715623236,575021373.7070752,0.01733331527709961,0.009750476686928397,411,4.007445918327571
09-705-00741,UTTAR PRADESH,Hapur,Garhmukteshwar,0.0,0.0,,661,9,741,60,133342.13859046303,610010163.1463053,0.03638516101837158,0.005975256218355756,430,2.569360173892975
09-140-00739,UTTAR PRADESH,Ghaziabad,Ghaziabad,0.0,0.0,,145,9,739,54,192591.00254077182,598256757.5738646,0.0066302691817283635,0.006562151941642943,422,2.769228119373322
09-705-00740,UTTAR PRADESH,Hapur,Hapur,0.0,0.0,,661,9,740,59,199585.4895350124,847747013.8293185,0.01116501340866089,0.008578061235959257,603,5.172570925283432
