Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.3,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.4,Bid Number.2,Bidder Name.2,Value,Rank,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender ID :,Tender Ref No :,Tender Title :
"Chief Engineer PWD Azamgarh Zone,Azamgarh||S.E. Azamgarh Circle,PWD,Azamgarh",3284 /SE.TENDER/AZAMGARH CIRCLE/19 DT. 26.11.2019,2019_CEUAZ_414330_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical Document,19-Dec-2019 09:00 AM,02-Jan-2020 03:30 PM,19-Dec-2019 09:00 AM,01-Jan-2020 12:00 PM,NA ,NA ,19-Dec-2019 12:00 PM,01-Jan-2020 12:00 PM,10-Jan-2020 12:30 PM,"30,00,000",Yes,fixed,,Payment by E-Tender Portal through NIC,Azamgarh,1.0,date,Date,,1.0,SBI Bank,"5,590",Payment by E-Tender Portal through NIC,Azamgarh,No,"S.E., Azamgarh Circle, P.W.D., Azamgarh","S.E., Azamgarh Circle, P.W.D., Azamgarh",Widening and strengthening of the Asut Mirzapur Mahul Belavai Road (MDR 158E) km 40 to 51 (total length 11.500 km) to connect the block Pawai with two lane road in distt azamgarh,Widening and strengthening of the Asut Mirzapur Mahul Belavai Road (MDR 158E) km 40 to 51 (total length 11.500 km) to connect the block Pawai with two lane road in distt azamgarh,Please refer Tender documents. ,NA ,"16,50,00,000",Civil Works,NA ,Rate Contract,120.0,365.0,Azamgarh,276001.0,"S.E., Azamgarh Circle, P.W.D., Azamgarh ","S.E., Azamgarh Circle, P.W.D., Azamgarh ",19-Dec-2019 11:00 AM ,"S.E., Azamgarh Circle, P.W.D., Azamgarh",No ,No,"Chief Engineer PWD Azamgarh Zone,Azamgarh||S.E. Azamgarh Circle,PWD,Azamgarh",3284 /SE.TENDER/AZAMGARH CIRCLE/19 DT. 26.11.2019,2019_CEUAZ_414330_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical Document,19-Dec-2019 09:00 AM,02-Jan-2020 03:30 PM,19-Dec-2019 09:00 AM,01-Jan-2020 12:00 PM,NA ,NA ,19-Dec-2019 12:00 PM,01-Jan-2020 12:00 PM,10-Jan-2020 12:30 PM,"30,00,000",Yes,fixed,,Payment by E-Tender Portal through NIC,Azamgarh,1.0,date,Date,,1.0,SBI Bank,"5,590",Payment by E-Tender Portal through NIC,Azamgarh,No,"S.E., Azamgarh Circle, P.W.D., Azamgarh","S.E., Azamgarh Circle, P.W.D., Azamgarh",Widening and strengthening of the Asut Mirzapur Mahul Belavai Road (MDR 158E) km 40 to 51 (total length 11.500 km) to connect the block Pawai with two lane road in distt azamgarh,Widening and strengthening of the Asut Mirzapur Mahul Belavai Road (MDR 158E) km 40 to 51 (total length 11.500 km) to connect the block Pawai with two lane road in distt azamgarh,Please refer Tender documents. ,NA ,"16,50,00,000",Civil Works,NA ,Rate Contract,120.0,365.0,Azamgarh,276001.0,"S.E., Azamgarh Circle, P.W.D., Azamgarh ","S.E., Azamgarh Circle, P.W.D., Azamgarh ",19-Dec-2019 11:00 AM ,"S.E., Azamgarh Circle, P.W.D., Azamgarh",No ,No,11-Feb-2020,"INR 141,865,314",365.0,Ashutosh Kumar Mani,14-Feb-2020 04:57 PM,VindhychalSingh.pdf (1407.00 KB),Financial Bid Accepted at the Rate of Rs.141865314.00,1.0,1516673.0,VINDHYACHAL SINGH,INR,"141,865,314",1.0,1521129.0,ganga sagar singh,30-Dec-2019 09:46 PM,Rejected-Finance,L2 Higher Rate Quoted,17-Jan-2020 10:45 AM,Finance,Financial Bid Responsive,Ashutosh Kumar Mani,17-Jan-2020 10:35 AM,finance_604539.pdf,BOQ Comparative Chart,"Mr. R.N. Das, S.E",Internal,"Mr. Rajendra Kumar Tripathi, Mr. Vijay Singh E.E, Mr. Gangeswar Pal A.E",Ashutosh Kumar Mani,17-Jan-2020 10:45 AM,finsummary_604539.pdf (101.53 KB),1.0,1516673.0,VINDHYACHAL SINGH,142917714.0,L1,Technical,Technical Bid Responsive,Ashutosh Kumar Mani,09-Jan-2020 05:21 PM,technical_604539.pdf,"Mr. R.N. Das, S.E",Internal,"Mr. Rajendra Kumar Tripathi, Mr. Vijay Singh E.E, Mr. Gangeswar Pal A.E",Ashutosh Kumar Mani,09-Jan-2020 05:30 PM,10-Jan-2020 12:30 PM,techsummary_604539.pdf (101.53 KB),,,
,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Document,,,,,,,,,,,,,,,,2.0,Other Corrigendum,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Document,,,,,,,,,,,,,,,,2.0,Other Corrigendum,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1526910.0,M/s Ashok Kumar Singh Contractor,31-Dec-2019 03:44 PM,Rejected-Finance,L3 Higher Rate Quoted,17-Jan-2020 10:45 AM,,,,,,,,,,,,,2.0,1517907.0,M/s Rajendra Prasad Srivastav,150685228.0,L5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1525196.0,M/S CHANDRAWATI CONSTRUCTION PVT LTD,30-Dec-2019 05:50 PM,Rejected-Finance,L4 Higher Rate Quoted,17-Jan-2020 10:45 AM,,,,,,,,,,,,,3.0,1519869.0,M/s Nav Bharat Trading Company,164813691.0,L7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1519869.0,M/s Nav Bharat Trading Company,26-Dec-2019 08:09 PM,Rejected-Finance,L7 Higher Rate Quoted,17-Jan-2020 10:45 AM,,,,,,,,,,,,,4.0,1521129.0,ganga sagar singh,145121086.0,L2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1527425.0,M/s. PRAKASH CONSTRUCTION,01-Jan-2020 11:45 AM,Rejected-Finance,L6 Higher Rate Quoted,17-Jan-2020 10:45 AM,,,,,,,,,,,,,5.0,1525196.0,M/S CHANDRAWATI CONSTRUCTION PVT LTD,147050745.0,L4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1517907.0,M/s Rajendra Prasad Srivastav,31-Dec-2019 04:20 PM,Rejected-Finance,L5 Higher Rate Quoted,17-Jan-2020 10:45 AM,,,,,,,,,,,,,6.0,1526910.0,M/s Ashok Kumar Singh Contractor,145573453.975,L3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1526956.0,MS SHRI RAM ENTERPRISES,31-Dec-2019 10:37 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,09-Jan-2020 05:21 PM,,,,,,,,,,,,,7.0,1527425.0,M/s. PRAKASH CONSTRUCTION,150850396.0,L6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1520125.0,M/S SINCERE CONSTRUCTION,28-Dec-2019 07:39 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,09-Jan-2020 05:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1527063.0,M/S S.R.S. INFRATECH,31-Dec-2019 08:38 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,09-Jan-2020 05:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1527305.0,M/S SURYANSH INFRA DEVELOPERS PVT LTD,31-Dec-2019 09:08 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,09-Jan-2020 05:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1516673.0,VINDHYACHAL SINGH,31-Dec-2019 02:44 AM,Accepted-AOC,Financial Bid Accepted at the Rate of Rs.141865314.00,14-Feb-2020 04:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_CEUAZ_414330_1,3284 /SE.TENDER/AZAMGARH CIRCLE/19 DT. 26.11.2019,Widening and strengthening of the Asut Mirzapur Mahul Belavai Road (MDR 158E) km 40 to 51 (total length 11.500 km) to connect the block Pawai with two lane road in distt azamgarh
