Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.3,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.4,Bid Number.2,Bidder Name.2,Value,Rank,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.5,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Tender ID :,Tender Ref No :,Tender Title :
Cheif Engineer Bareilly Zone PWD Bareilly||SE BADAUN-PILIBHIT CIRCLE PWD BAREILLY||EE Construction Division - 2 Budaun,1885/ Nivida (E-T)19 Dated 31-12-2019,2020_CEBLY_419424_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,T-1,06-Jan-2020 09:00 AM,13-Jan-2020 12:30 PM,06-Jan-2020 09:00 AM,13-Jan-2020 12:00 PM,NA ,NA ,06-Jan-2020 09:00 AM,13-Jan-2020 12:00 PM,16-Jan-2020 03:00 PM,"2,50,000",Yes,fixed,,"Chief Finance and Account Officer,Nagar Nigam",Kanpur,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,1.0,SBI Bank,944.0,"Executive Engineer Construction Division-2, P.W.D.",Budaun,No,Executive Engineer,"O/o Executive Engineer Construction Division-2, P.W.D. Budaun","Work of Center Line, Edge Line and Zebra Crossing With Thermoplastic Paint on Various Roads of Sadar Budaun and Bilsi Vidhan Sabha Area of Distt. Budaun",Please Refer Tender Document,Please refer Tender documents. ,NA ,"22,50,000",Civil Works,NA ,Tender,90.0,60.0,"Executive Engineer Construction Division-2, P.W.D.",243601.0,Budaun ,"O/o Executive Engineer Construction Division-2, P.W.D. Budaun ",07-Jan-2020 12:00 PM ,Budaun,No ,No,Cheif Engineer Bareilly Zone PWD Bareilly||SE BADAUN-PILIBHIT CIRCLE PWD BAREILLY||EE Construction Division - 2 Budaun,1885/ Nivida (E-T)19 Dated 31-12-2019,2020_CEBLY_419424_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,T-1,06-Jan-2020 09:00 AM,13-Jan-2020 12:30 PM,06-Jan-2020 09:00 AM,13-Jan-2020 12:00 PM,NA ,NA ,06-Jan-2020 09:00 AM,13-Jan-2020 12:00 PM,16-Jan-2020 03:00 PM,"2,50,000",Yes,fixed,,"Chief Finance and Account Officer,Nagar Nigam",Kanpur,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,1.0,SBI Bank,944.0,"Executive Engineer Construction Division-2, P.W.D.",Budaun,No,Executive Engineer,"O/o Executive Engineer Construction Division-2, P.W.D. Budaun","Work of Center Line, Edge Line and Zebra Crossing With Thermoplastic Paint on Various Roads of Sadar Budaun and Bilsi Vidhan Sabha Area of Distt. Budaun",Please Refer Tender Document,Please refer Tender documents. ,NA ,"22,50,000",Civil Works,NA ,Tender,90.0,60.0,"Executive Engineer Construction Division-2, P.W.D.",243601.0,Budaun ,"O/o Executive Engineer Construction Division-2, P.W.D. Budaun ",07-Jan-2020 12:00 PM ,Budaun,No ,No,30-Jan-2020,"INR 2,196,990",60.0,HEMANT SINGH,13-Feb-2020 09:01 AM,AOC.pdf (712.00 KB),Lowest Amount Quoted by M/s S T Enterprises,1.0,1537210.0,M/S S T ENTERPRISES,INR,"2,196,990",1.0,1542184.0,BIRESH KUMAR GUPTA,11-Jan-2020 01:42 PM,Rejected-Technical,Non Responsive,16-Jan-2020 02:06 PM,Finance,Finincial Open by Tender commety,HEMANT SINGH,28-Jan-2020 05:46 PM,None,BOQ Comparative Chart,D K Mishra,Internal,Hemant Singh and Pramod Kumar,HEMANT SINGH,28-Jan-2020 06:24 PM,finsummary_613129.pdf (1470.54 KB),1.0,1537210.0,M/S S T ENTERPRISES,"21,96,900.00",L1,Technical,ok,HEMANT SINGH,16-Jan-2020 11:12 AM,None,D K Mishra,Internal,Hemant singh and Pramod kumar,HEMANT SINGH,16-Jan-2020 02:06 PM,16-Jan-2020 03:00 PM,techsummary_613129.pdf (18.29 KB),1.0,Tender Revocation,Technical,15-Jan-2020 06:32 PM,Revocation.pdf ,242.71,Technical Opening,,,
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,2.0,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,2.0,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1544063.0,M/S R H CONSTRUCTION,13-Jan-2020 10:41 AM,Rejected-Finance,Rejected Due to Higher Rate Tender,28-Jan-2020 06:24 PM,,,,,,,,,,,,,2.0,1544063.0,M/S R H CONSTRUCTION,"22,24,800.00",L2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Experience/ mfg. capacity ,Authentic document in support of experience of supplying Tendered item during last financial year ,Authentic document in support of experience of supplying Tendered item during last financial year ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Experience/ mfg. capacity ,Authentic document in support of experience of supplying Tendered item during last financial year ,Authentic document in support of experience of supplying Tendered item during last financial year ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1537210.0,M/S S T ENTERPRISES,11-Jan-2020 03:56 PM,Accepted-AOC,1st Lowest,13-Feb-2020 09:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Financial Details ,Certificates from Bankers ,Certificates from Bankers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Financial Details ,Certificates from Bankers ,Certificates from Bankers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Machinery Details ,Machinery Details ,Machinery Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Machinery Details ,Machinery Details ,Machinery Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Tax related documents ,Sale Tax clearance certificate / VAT clearance certificate of bidder ,Sale Tax clearance certificate / VAT clearance certificate of bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Tax related documents ,Sale Tax clearance certificate / VAT clearance certificate of bidder ,Sale Tax clearance certificate / VAT clearance certificate of bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Tax related documents ,"Professional Tax clearance If this is in force in the state, the bidder belongs to ","Professional Tax clearance If this is in force in the state, the bidder belongs to ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Tax related documents ,"Professional Tax clearance If this is in force in the state, the bidder belongs to ","Professional Tax clearance If this is in force in the state, the bidder belongs to ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Tax related documents ,Excise duty clearance certificate if required ,Excise duty clearance certificate if required ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Tax related documents ,Excise duty clearance certificate if required ,Excise duty clearance certificate if required ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
