object_id,total_tender_awarded_value
09-140-00739,778193341.44
09-143-00753,22746039.85
09-143-00755,6187608.4
09-147-00771,6249034.0
09-148-00775,4278183.34
09-163-00843,813120.0
09-173-00882,19774299.5
09-175-00888,1820676.42
09-175-00895,123700.1
09-179-00917,166792.46
09-182-00925,7692003.0
09-185-00937,326839.22
09-185-00938,20796459.0
09-186-00941,3443877.0
09-188-00950,308088.56
09-188-00952,1176623.68
09-188-00954,2007799.01
09-191-00966,1989952.14
09-192-00971,199913.1
09-193-00976,2298443.97
09-193-00978,92654160.0
09-194-00986,10631008.04
09-195-00991,750613.0
09-706-00914,5390525.8100000005
