Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
"8,393",Nil,Nil,No,1.0,SBI Bank,07-Mar-2026 10:00 AM,13-Mar-2026 03:00 PM,07-Mar-2026 10:00 AM,13-Mar-2026 02:00 PM,NA ,NA ,07-Mar-2026 10:00 AM,13-Mar-2026 02:00 PM,01-Apr-2026 04:15 PM,"9,35,000",No,fixed,,Nil,Nil,NIT06 LOT14,NIT06 LOT14,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,BARABANKI,225001.0,O/O XITH CIRCLE IRRIGATION WORKS AYODHYA ,O/O XITH CIRCLE IRRIGATION WORKS AYODHYA ,07-Mar-2026 11:00 AM ,O/O XITH CIRCLE IRRIGATION WORKS AYODHYA,No ,No,SUPERINTENDING ENGINEER,O/O XITH CIRCLE IRRIGATION WORKS AYODHYA,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XI Circle Irrigation Works, Faizabad",06/SE-XI/2025-26,2026_UPIDC_1122365_14,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,1.0,Tender Revocation,Tender Revocation,01-Apr-2026 11:31 AM,revoke.pdf ,99.06,Technical Opening,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XI Circle Irrigation Works, Faizabad",2026_UPIDC_1122365_14,06/SE-XI/2025-26,NIT06 LOT14,1,5968776,ARUN CONSTRUCTION,12-Mar-2026 10:27 PM,Rejected-Technical,NOT QUALIFY WITH TECHNICAL SPECIFICATION,01-Apr-2026 04:13 PM,1.0,5966216.0,M/S SRI RAJ BAHADUR SINGH,INR,"37,997,866.1",DC VERMA,Internal,,Dhruva Chandra Verma,08-Apr-2026 07:27 PM,finsummary_2089909.pdf (293.26 KB),Finance,ALL BID HAS BEEN ADMITTED,Dhruva Chandra Verma,08-Apr-2026 07:20 PM,,BOQ Comparative Chart,DC VERMA,Internal,DC VERMA SE 11TH CIRCLE IW WORKS AYODHYA AND BP SINGH SE 7TH CIRCLE IW LUCKNOW,Dhruva Chandra Verma,01-Apr-2026 04:13 PM,01-Apr-2026 04:15 PM,techsummary_2089909.pdf (655.71 KB),Technical,ALL BID HAS BEEN ADMITTED,Dhruva Chandra Verma,01-Apr-2026 04:02 PM,,08-Apr-2026,"INR 37,997,866.1",90.0,Dhruva Chandra Verma,08-Apr-2026 07:33 PM,aoc.pdf (391.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,5968979,DHARAM DEV CHAUHAN,13-Mar-2026 12:15 AM,Rejected-Finance,L3,08-Apr-2026 07:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,5967935,M/S BABY SHAHI,13-Mar-2026 02:47 AM,Rejected-Finance,L6,08-Apr-2026 07:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,5956038,M/S J AND V INFRATECH PRIVATE LIMITED,13-Mar-2026 09:28 AM,Rejected-Finance,L7,08-Apr-2026 07:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,5967079,M/s Nav Bharat Construction,13-Mar-2026 01:51 PM,Rejected-Finance,L8,08-Apr-2026 07:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,5969371,M/S RAVINDRA SINGH,13-Mar-2026 05:30 AM,Rejected-Finance,L9,08-Apr-2026 07:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,5959533,M/S SINGH CONSTRUCTION,13-Mar-2026 11:36 AM,Rejected-Finance,L2,08-Apr-2026 07:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,5965769,M/s Singh Traders,13-Mar-2026 11:47 AM,Rejected-Finance,L4,08-Apr-2026 07:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,5966216,M/S SRI RAJ BAHADUR SINGH,13-Mar-2026 10:36 AM,Accepted-AOC,l1,08-Apr-2026 07:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,5968972,SHIVANSH CONSTRCUTION,13-Mar-2026 01:30 PM,Rejected-Finance,L5,08-Apr-2026 07:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
