Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
07-Mar-2026 10:00 AM,13-Mar-2026 03:00 PM,07-Mar-2026 10:00 AM,13-Mar-2026 02:30 PM,NA ,NA ,07-Mar-2026 10:00 AM,13-Mar-2026 02:30 PM,25-Mar-2026 05:00 PM,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Technical,"6,034",Nil,Nil,No,ANTI EROSION WORK TO PROTECT OF SARYU RIGHT BANK BETWEEN PARSIYA DEWAR AND DHARMPUR VISHUNPUR VILLAGE IN DISTRICT MAU,ANTI EROSION WORK TO PROTECT OF SARYU RIGHT BANK BETWEEN PARSIYA DEWAR AND DHARMPUR VISHUNPUR VILLAGE IN DISTRICT MAU,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,Mau,275303.0,"SUPERINTENDING ENGINEER, DRAINAGE CIRCLE, BALLIA ","SUPERINTENDING ENGINEER, DRAINAGE CIRCLE, BALLIA ",07-Mar-2026 11:00 AM ,On line,No ,No,"9,40,000",No,fixed,,Nil,Nil,"SUPERINTENDING ENGINEER, DRAINAGE CIRCLE, BALLIA","SUPERINTENDING ENGINEER, DRAINAGE CIRCLE, BALLIA","U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Drainage Circle, Ballia",07/S.E./2025-26,2026_UPIDC_1122392_12,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,AOC,1,5967464,ARVIND KUMAR SINGH,12-Mar-2026 10:38 PM,Rejected-Finance,L3,02-Apr-2026 04:19 PM,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Drainage Circle, Ballia",2026_UPIDC_1122392_12,07/S.E./2025-26,ANTI EROSION WORK TO PROTECT OF SARYU RIGHT BANK BETWEEN PARSIYA DEWAR AND DHARMPUR VISHUNPUR VILLAGE IN DISTRICT MAU,A.K.Singh,Internal,S.M.Verma,ashok singh,02-Apr-2026 04:19 PM,finsummary_2090059.pdf (660.81 KB),Finance,AS uploaded,ashok singh,25-Mar-2026 07:16 PM,finance_2090059.pdf,BOQ Comparative Chart,1.0,5966718.0,M/S AADI SHAKTI TRADERS,INR,"32,031,225.5",1.0,Revocation,As uploaded,25-Mar-2026 01:12 PM,12_13.pdf ,346.24,Technical Opening,Technical,As uploaded,ashok singh,25-Mar-2026 04:45 PM,technical_2090059.pdf,06-Apr-2026,"INR 32,031,225.5",90.0,ashok singh,18-Apr-2026 11:09 AM,aadi.pdf (1302.00 KB),As upload,A.K.Singh,Internal,S.M.Verma,ashok singh,25-Mar-2026 04:54 PM,25-Mar-2026 05:00 PM,techsummary_2090059.pdf (660.79 KB),AOC
,,,,,,,,,,,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,5966718,M/S AADI SHAKTI TRADERS,12-Mar-2026 09:41 PM,Accepted-AOC,L1,18-Apr-2026 11:09 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,5969188,M/S AJIT CONSTRUCTION AND ORDER SUPPLIER,13-Mar-2026 01:03 PM,Rejected-Technical,As per technical evaluation,25-Mar-2026 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,5968564,M/S GYAN PRAKASH,13-Mar-2026 08:48 AM,Rejected-Technical,As per technical evaluation,25-Mar-2026 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,5962847,M/S MAA BHAWANI CONSTRUCTION,13-Mar-2026 10:35 AM,Rejected-Technical,As per technical evaluation,25-Mar-2026 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,5968914,M/S NEW HINDUSTAN CONTRACTOR AND SUPPLIER,13-Mar-2026 01:17 PM,Rejected-Technical,As per technical evaluation,25-Mar-2026 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,5969116,M/S SHUKLA ASSOCIATES,13-Mar-2026 09:58 AM,Rejected-Finance,L2,02-Apr-2026 04:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,5965793,M/s Singh Traders,13-Mar-2026 02:44 AM,Rejected-Finance,L6,02-Apr-2026 04:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,5968676,Radheshyam Dubey,12-Mar-2026 07:44 PM,Rejected-Finance,L5,02-Apr-2026 04:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,5968644,VESTOLUCK CONSTRUCTION AND SUPPLIERS,12-Mar-2026 08:07 PM,Rejected-Finance,L4,02-Apr-2026 04:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
