class,age,male,female
0,0 to 1,3441.38,2790.02
1,1 to 5,13285.02,10751.84
10,10 to 15,15932.38,12859.88
15,15 to 20,16395.54,13184.52
20,20 to 25,16777.91,13122.24
25,25 to 30,15179.36,12816.12
30,30 to 35,14071.63,12058.3
35,35 to 40,12315.7,10286.17
40,40 to 45,9764.62,8318.17
45,45 to 50,7863.06,6661.07
5,5 to 10,16065.79,12949.94
50,50 to 55,6208.91,5413.49
55,55 to 60,4923.59,4627.68
60,60 to 65,3852.57,3586.02
65,65 to 70,2778.37,2716.26
70,70 to 75,1791.52,1806.23
75,75 to 80,1214.35,1289.34
80,80 and over,1322.68,1564.4
