object_id,sum_population
09-153-00799,711393.8125
09-188-00954,582449.4375
09-192-00971,527385.625
09-193-00975,430005.875
09-190-00961,374903.28125
09-193-00980,347290.46875
09-150-00787,1946711.375
09-193-00979,792001.0625
09-184-00934,761901.25
09-188-00952,482580.53125
09-170-00871,778751.0625
09-182-00925,806634.625
09-193-00978,1039953.5625
09-157-00820,477263.96875
09-183-00928,1415667.75
09-175-00891,478936.25
09-188-00950,1842134.625
09-175-00889,1035707.75
09-160-00834,504561.0625
09-189-01020,1439869.25
09-175-00892,783613.875
09-163-00843,350211.375
09-193-00977,611949.5625
09-176-00900,514054.625
09-176-00897,360320.34375
09-158-00825,983049.8125
09-754-00778,658775.375
09-156-00817,558799.0
09-197-00995,766356.375
09-191-00968,752789.9375
09-187-00946,593480.0
09-173-00883,815673.0625
09-202-01012,607201.375
09-153-00798,536148.0625
09-164-00849,3803698.0
09-173-00882,1240553.125
09-191-00967,689603.6875
09-177-00903,576358.125
09-176-00898,1136753.0
09-134-00714,370190.21875
09-133-00708,1604536.0
09-179-06868,224849.109375
09-706-00912,602251.625
09-195-00990,1042881.0625
09-192-00974,553264.25
09-166-00856,258915.609375
09-134-00712,860701.1875
09-153-00800,1014697.25
09-178-00908,515318.09375
09-163-00845,638617.5625
09-178-00910,652655.3125
09-134-00715,249365.5625
09-157-00822,680965.1875
09-199-01000,1492489.75
09-150-00785,576630.1875
09-201-01007,561297.0625
09-153-00797,429246.53125
09-180-00919,1467756.25
09-184-00933,811268.375
09-180-00921,1010196.8125
09-150-00784,828306.5625
09-194-00982,464466.53125
09-149-00782,1175597.625
09-170-00872,557099.9375
09-191-00966,1114801.875
09-162-00842,802219.375
09-170-00874,348207.03125
09-198-00999,502049.8125
09-150-00786,853329.625
09-142-00748,348796.65625
09-137-00730,923009.875
09-706-00914,544231.0625
09-175-00890,1647669.125
09-150-00788,574096.5625
09-187-00944,659514.1875
09-170-00873,385644.15625
09-148-00776,366250.6875
09-202-01011,293070.0625
09-189-00957,698805.6875
09-152-00795,1228379.125
09-136-00727,415428.65625
09-144-00757,261783.859375
09-161-00837,135843.84375
09-146-00767,587602.3125
09-146-00768,564721.5625
09-159-00830,762079.625
09-704-00707,735656.0
09-135-00718,49004.59375
09-161-00839,590023.9375
09-132-00701,677598.875
09-139-00735,742577.75
09-146-00770,525209.875
09-139-00736,495555.84375
09-146-00765,461381.15625
09-159-00831,182738.796875
09-181-00923,848672.8125
09-146-00766,2620818.0
09-144-00758,456218.4375
09-136-00723,395362.5
09-175-00894,751147.0
09-137-00718,337760.71875
09-139-00737,102718.125
09-154-00804,1093043.25
09-154-00808,726907.5625
09-154-00803,1168025.75
09-154-00807,695093.6875
09-147-00774,771806.8125
09-154-00805,863457.3125
09-151-00790,911228.375
09-143-00755,2191370.25
09-143-00752,538175.0
09-143-00756,447622.8125
09-143-00753,352797.5625
09-151-00791,741219.8125
09-143-00754,846607.0625
09-154-00806,845054.375
09-171-00875,907556.4375
09-151-00792,747676.125
09-165-00854,465467.4375
09-194-00981,843865.0
09-196-00992,761845.6875
09-191-00969,690294.0
09-153-00801,1421063.5
09-173-00881,1090237.25
09-169-00868,380886.90625
09-175-00895,448549.75
09-142-00745,430802.40625
09-165-00855,313993.15625
09-142-00751,623373.0625
09-133-00710,540592.5
09-186-00942,819548.125
09-188-00953,627903.125
09-167-00863,474529.15625
09-172-00879,918217.3125
09-202-01010,733462.0625
09-194-00986,744689.375
09-182-00927,837467.125
09-193-00976,474866.125
09-174-00885,589750.625
09-156-00816,928528.625
09-158-00828,360756.875
09-182-00926,925993.625
09-160-00835,499376.5
09-706-00824,696309.75
09-183-00930,831356.0625
09-178-00907,731744.6875
09-163-00847,292317.6875
09-189-00958,1061480.125
09-166-00858,239387.34375
09-179-00915,1036904.6875
09-175-00888,863793.375
09-177-00904,482686.75
09-142-00747,671274.0625
09-155-00810,586988.0625
09-176-00899,373068.3125
09-167-00861,409003.875
09-191-00970,456989.15625
09-188-00951,524329.125
09-138-00734,2349684.25
09-185-00939,1022339.4375
09-147-00771,580480.875
09-152-00794,862754.625
09-135-00717,599483.4375
09-136-00724,473060.75
09-132-00702,1811012.25
09-144-00760,430153.8125
09-132-00705,379165.78125
09-136-00726,777285.5625
09-152-00793,704056.5
09-132-00703,606601.375
09-135-00719,1922307.625
09-140-00738,860554.8125
09-136-00728,404304.84375
09-146-00763,198.16656494140625
09-198-00997,543524.1875
09-185-00937,419472.0
09-190-00963,491065.625
09-163-00846,408842.59375
09-196-00994,486385.125
09-174-00887,676339.0
09-188-00948,543561.5625
09-191-00964,497581.90625
09-142-00746,968289.5625
09-133-00709,632543.625
09-149-00779,925917.875
09-704-00706,637469.0625
09-172-00877,841258.375
09-164-00848,501859.3125
09-155-00812,769702.75
09-177-00906,590894.3125
09-134-00713,725847.0
09-156-00818,400981.03125
09-162-00841,816867.375
